ds,y
2016-12-25,37
2017-01-01,52
2017-01-08,56
2017-01-15,57
2017-01-22,63
2017-01-29,58
2017-02-05,58
2017-02-12,54
2017-02-19,55
2017-02-26,58
2017-03-05,56
2017-03-12,59
2017-03-19,59
2017-03-26,57
2017-04-02,55
2017-04-09,50
2017-04-16,52
2017-04-23,57
2017-04-30,54
2017-05-07,54
2017-05-14,53
2017-05-21,50
2017-05-28,57
2017-06-04,57
2017-06-11,50
2017-06-18,49
2017-06-25,47
2017-07-02,44
2017-07-09,46
2017-07-16,45
2017-07-23,46
2017-07-30,43
2017-08-06,45
2017-08-13,46
2017-08-20,44
2017-08-27,47
2017-09-03,53
2017-09-10,54
2017-09-17,59
2017-09-24,58
2017-10-01,60
2017-10-08,59
2017-10-15,57
2017-10-22,56
2017-10-29,56
2017-11-05,62
2017-11-12,64
2017-11-19,60
2017-11-26,62
2017-12-03,60
2017-12-10,60
2017-12-17,51
2017-12-24,36
2017-12-31,48
2018-01-07,56
2018-01-14,61
2018-01-21,62
2018-01-28,60
2018-02-04,58
2018-02-11,74
2018-02-18,82
2018-02-25,60
2018-03-04,62
2018-03-11,63
2018-03-18,59
2018-03-25,58
2018-04-01,57
2018-04-08,60
2018-04-15,56
2018-04-22,57
2018-04-29,53
2018-05-06,52
2018-05-13,57
2018-05-20,57
2018-05-27,60
2018-06-03,64
2018-06-10,64
2018-06-17,70
2018-06-24,90
2018-07-01,80
2018-07-08,57
2018-07-15,49
2018-07-22,48
2018-07-29,48
2018-08-05,53
2018-08-12,48
2018-08-19,50
2018-08-26,54
2018-09-02,57
2018-09-09,58
2018-09-16,61
2018-09-23,62
2018-09-30,59
2018-10-07,62
2018-10-14,60
2018-10-21,62
2018-10-28,58
2018-11-04,59
2018-11-11,65
2018-11-18,60
2018-11-25,62
2018-12-02,61
2018-12-09,60
2018-12-16,54
2018-12-23,40
2018-12-30,44
2019-01-06,61
2019-01-13,64
2019-01-20,64
2019-01-27,65
2019-02-03,63
2019-02-10,61
2019-02-17,60
2019-02-24,60
2019-03-03,62
2019-03-10,64
2019-03-17,64
2019-03-24,62
2019-03-31,62
2019-04-07,61
2019-04-14,56
2019-04-21,56
2019-04-28,56
2019-05-05,59
2019-05-12,60
2019-05-19,62
2019-05-26,63
2019-06-02,66
2019-06-09,76
2019-06-16,61
2019-06-23,56
2019-06-30,55
2019-07-07,59
2019-07-14,51
2019-07-21,49
2019-07-28,48
2019-08-04,51
2019-08-11,49
2019-08-18,54
2019-08-25,57
2019-09-01,59
2019-09-08,62
2019-09-15,62
2019-09-22,64
2019-09-29,65
2019-10-06,66
2019-10-13,68
2019-10-20,62
2019-10-27,60
2019-11-03,64
2019-11-10,66
2019-11-17,68
2019-11-24,60
2019-12-01,65
2019-12-08,61
2019-12-15,58
2019-12-22,40
2019-12-29,45
2020-01-05,61
2020-01-12,61
2020-01-19,64
2020-01-26,67
2020-02-02,64
2020-02-09,63
2020-02-16,60
2020-02-23,63
2020-03-01,60
2020-03-08,59
2020-03-15,57
2020-03-22,65
2020-03-29,67
2020-04-05,64
2020-04-12,60
2020-04-19,65
2020-04-26,66
2020-05-03,65
2020-05-10,65
2020-05-17,60
2020-05-24,57
2020-05-31,57
2020-06-07,61
2020-06-14,58
2020-06-21,56
2020-06-28,52
2020-07-05,50
2020-07-12,52
2020-07-19,51
2020-07-26,50
2020-08-02,50
2020-08-09,53
2020-08-16,53
2020-08-23,55
2020-08-30,55
2020-09-06,60
2020-09-13,62
2020-09-20,66
2020-09-27,62
2020-10-04,68
2020-10-11,56
2020-10-18,55
2020-10-25,55
2020-11-01,52
2020-11-08,60
2020-11-15,64
2020-11-22,60
2020-11-29,62
2020-12-06,64
2020-12-13,57
2020-12-20,41
2020-12-27,44
2021-01-03,57
2021-01-10,58
2021-01-17,55
2021-01-24,61
2021-01-31,60
2021-02-07,59
2021-02-14,58
2021-02-21,55
2021-02-28,56
2021-03-07,58
2021-03-14,58
2021-03-21,57
2021-03-28,53
2021-04-04,61
2021-04-11,56
2021-04-18,52
2021-04-25,61
2021-05-02,57
2021-05-09,53
2021-05-16,56
2021-05-23,57
2021-05-30,58
2021-06-06,60
2021-06-13,55
2021-06-20,71
2021-06-27,69
2021-07-04,48
2021-07-11,44
2021-07-18,45
2021-07-25,84
2021-08-01,100
2021-08-08,57
2021-08-15,46
2021-08-22,50
2021-08-29,60
2021-09-05,56
2021-09-12,55
2021-09-19,56
2021-09-26,55
2021-10-03,48
2021-10-10,48
2021-10-17,45
2021-10-24,45
2021-10-31,46
2021-11-07,47
2021-11-14,49
2021-11-21,48
2021-11-28,46
2021-12-05,52
2021-12-12,48
