ds,y
2016-12-25,15
2017-01-01,17
2017-01-08,27
2017-01-15,24
2017-01-22,25
2017-01-29,31
2017-02-05,28
2017-02-12,27
2017-02-19,30
2017-02-26,35
2017-03-05,31
2017-03-12,41
2017-03-19,35
2017-03-26,33
2017-04-02,39
2017-04-09,29
2017-04-16,22
2017-04-23,22
2017-04-30,22
2017-05-07,34
2017-05-14,36
2017-05-21,27
2017-05-28,35
2017-06-04,32
2017-06-11,30
2017-06-18,36
2017-06-25,36
2017-07-02,24
2017-07-09,30
2017-07-16,38
2017-07-23,37
2017-07-30,39
2017-08-06,42
2017-08-13,32
2017-08-20,33
2017-08-27,29
2017-09-03,24
2017-09-10,35
2017-09-17,38
2017-09-24,40
2017-10-01,34
2017-10-08,38
2017-10-15,36
2017-10-22,41
2017-10-29,28
2017-11-05,35
2017-11-12,36
2017-11-19,33
2017-11-26,41
2017-12-03,33
2017-12-10,40
2017-12-17,36
2017-12-24,18
2017-12-31,28
2018-01-07,37
2018-01-14,34
2018-01-21,39
2018-01-28,46
2018-02-04,44
2018-02-11,33
2018-02-18,37
2018-02-25,52
2018-03-04,49
2018-03-11,47
2018-03-18,47
2018-03-25,47
2018-04-01,50
2018-04-08,42
2018-04-15,45
2018-04-22,37
2018-04-29,39
2018-05-06,54
2018-05-13,47
2018-05-20,53
2018-05-27,42
2018-06-03,57
2018-06-10,47
2018-06-17,43
2018-06-24,48
2018-07-01,46
2018-07-08,48
2018-07-15,56
2018-07-22,61
2018-07-29,56
2018-08-05,49
2018-08-12,51
2018-08-19,47
2018-08-26,55
2018-09-02,56
2018-09-09,51
2018-09-16,48
2018-09-23,55
2018-09-30,47
2018-10-07,38
2018-10-14,49
2018-10-21,59
2018-10-28,46
2018-11-04,52
2018-11-11,50
2018-11-18,53
2018-11-25,54
2018-12-02,44
2018-12-09,58
2018-12-16,45
2018-12-23,23
2018-12-30,25
2019-01-06,57
2019-01-13,51
2019-01-20,51
2019-01-27,52
2019-02-03,57
2019-02-10,72
2019-02-17,57
2019-02-24,58
2019-03-03,51
2019-03-10,65
2019-03-17,60
2019-03-24,65
2019-03-31,62
2019-04-07,53
2019-04-14,55
2019-04-21,50
2019-04-28,58
2019-05-05,60
2019-05-12,61
2019-05-19,64
2019-05-26,68
2019-06-02,61
2019-06-09,62
2019-06-16,81
2019-06-23,63
2019-06-30,61
2019-07-07,71
2019-07-14,69
2019-07-21,61
2019-07-28,56
2019-08-04,51
2019-08-11,66
2019-08-18,64
2019-08-25,70
2019-09-01,61
2019-09-08,74
2019-09-15,80
2019-09-22,67
2019-09-29,77
2019-10-06,80
2019-10-13,76
2019-10-20,73
2019-10-27,57
2019-11-03,70
2019-11-10,71
2019-11-17,62
2019-11-24,77
2019-12-01,71
2019-12-08,76
2019-12-15,61
2019-12-22,30
2019-12-29,33
2020-01-05,63
2020-01-12,69
2020-01-19,70
2020-01-26,70
2020-02-02,76
2020-02-09,87
2020-02-16,81
2020-02-23,84
2020-03-01,80
2020-03-08,83
2020-03-15,70
2020-03-22,75
2020-03-29,74
2020-04-05,60
2020-04-12,85
2020-04-19,81
2020-04-26,77
2020-05-03,78
2020-05-10,74
2020-05-17,83
2020-05-24,78
2020-05-31,73
2020-06-07,79
2020-06-14,88
2020-06-21,70
2020-06-28,87
2020-07-05,86
2020-07-12,84
2020-07-19,81
2020-07-26,73
2020-08-02,76
2020-08-09,90
2020-08-16,82
2020-08-23,90
2020-08-30,74
2020-09-06,70
2020-09-13,76
2020-09-20,76
2020-09-27,77
2020-10-04,83
2020-10-11,66
2020-10-18,69
2020-10-25,71
2020-11-01,61
2020-11-08,70
2020-11-15,66
2020-11-22,66
2020-11-29,67
2020-12-06,67
2020-12-13,73
2020-12-20,38
2020-12-27,28
2021-01-03,66
2021-01-10,80
2021-01-17,78
2021-01-24,69
2021-01-31,80
2021-02-07,81
2021-02-14,73
2021-02-21,92
2021-02-28,73
2021-03-07,89
2021-03-14,81
2021-03-21,78
2021-03-28,66
2021-04-04,73
2021-04-11,80
2021-04-18,82
2021-04-25,78
2021-05-02,79
2021-05-09,83
2021-05-16,84
2021-05-23,83
2021-05-30,75
2021-06-06,81
2021-06-13,83
2021-06-20,84
2021-06-27,76
2021-07-04,87
2021-07-11,88
2021-07-18,76
2021-07-25,68
2021-08-01,71
2021-08-08,79
2021-08-15,82
2021-08-22,76
2021-08-29,76
2021-09-05,73
2021-09-12,84
2021-09-19,89
2021-09-26,100
2021-10-03,88
2021-10-10,85
2021-10-17,81
2021-10-24,88
2021-10-31,74
2021-11-07,85
2021-11-14,87
2021-11-21,75
2021-11-28,86
2021-12-05,90
2021-12-12,92
